0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:24 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminPeloUsuario/magalha HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:24 -0300] "GET /Biblioteca/resources/admin/perfil/ HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:24 -0300] "GET /Biblioteca/resources/admin/perfil/content.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:24 -0300] "GET /Biblioteca/resources/admin/perfil/js/perfil.js HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:25 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarUsuario HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:25 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminPeloUsuario/magalha HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:25 -0300] "GET /Biblioteca/resources/admin/perfil/ HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:44 -0300] "GET /Biblioteca/resources/admin/index.jsp HTTP/1.1" 200 2278
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:44 -0300] "GET /Biblioteca/resources/admin/navbar/css/navbar.css HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:44 -0300] "GET /Biblioteca/resources/admin/canvasjs.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:44 -0300] "GET /Biblioteca/resources/css/jquery-ui.css HTTP/1.1" 200 38638
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:44 -0300] "GET /Biblioteca/resources/admin/relatorio/Chart.js HTTP/1.1" 200 444219
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:44 -0300] "GET /Biblioteca/resources/js/jquery-3.3.1.js HTTP/1.1" 200 282113
